-0.001027384;-0.7589232;150;10470.40667
0.030164209;-0.655625548;167;11854.67066
0.061797327;2.221329839;195;13531.4359
0.093065868;6.690709615;194;14960.19072
0.123370994;12.57713064;225;21349.55556
0.154464518;18.6298331;208;22356.14423
0.186001913;27.2475865;132;8495.143939
0.216421701;36.64737048;145;9304.717241
0.247011208;47.10558917;130;8255.753846
0.27836443;58.80572555;134;8557.104478
0.309762309;71.37053813;135;8324.592593
0.340459646;84.57627654;139;8966.18705
0.371173293;98.75528791;130;8123.538462
0.402073535;113.3982849;123;7866.390244
0.433849394;128.2970061;134;8550.992537
0.464880073;144.7341839;138;8633.347826
0.495590879;160.8291778;136;8633.904412
0.52601726;177.876393;148;9488.831081
0.557483221;194.7771297;139;8866.230216
0.58853257;212.4912279;136;8646.463235
0.618799306;230.3143321;140;9051.678571
0.650321844;248.4312531;125;7849.04
0.681511904;266.9363437;127;8130.740157
0.712592855;284.9084621;135;8701.037037
0.743600412;303.1432468;132;8333.924242
0.774749168;322.2114846;128;8113.234375
0.805217168;340.4825698;140;8967.821429
0.836634686;359.2029971;141;8974.780142
0.866953041;377.7064272;146;9341.013699
0.898063084;395.9798365;129;8260.124031
0.929441594;414.816901;132;8485.742424
0.960507735;433.2368008;133;8314.255639
0.990906067;450.7828225;210;19133.94762
0.999253174;455.9099437;0;0
