Fig7 - torsion;;;;;
Panel + nonlinear;;Euler + Nonlinear;;Euler + Linear;
x;y;x;y;x;y
0.671292818;0.132372483;0.02190658;0.007344409;0.150613762;0.014178147
1.022312406;0.200685372;0.478232044;0.046299221;0.564036832;0.044523301
1.373331994;0.265515802;0.934557509;0.085555545;0.952108488;0.078391144
1.741902562;0.331551521;1.433005324;0.160713516;1.338230035;0.134772249
2.128024108;0.400260343;1.911562029;0.239131779;1.751931693;0.195745911
2.514145655;0.466666712;2.452717228;0.320545143;2.139724761;0.262830348
2.900267202;0.532497469;2.910296334;0.389537809;2.549247614;0.316342428
3.286388749;0.595737965;3.374143646;0.457285489;2.988022099;0.384547373
3.672510296;0.657251622;3.883122049;0.527624712;3.418996149;0.445316585
4.058631843;0.717038439;4.392100452;0.597172467;3.769040683;0.492427114
4.44475339;0.775098417;4.883527875;0.659204772;4.183438808;0.554562714
4.830874937;0.831143748;5.374955299;0.721237077;4.550059267;0.601098324
5.216996484;0.886901272;5.866382722;0.780499243;5.006384731;0.655053343
5.603118031;0.94064415;6.357810146;0.835804068;5.497812155;0.716011512
5.989239578;0.992084575;6.866788548;0.890313927;5.872233049;0.762821953
6.375361125;1.042373774;7.358215972;0.940236768;6.422163737;0.824622746
6.761482672;1.089784906;7.849643395;0.990370668;6.866788548;0.871846335
7.147604219;1.135757005;8.358621798;1.036438199;7.252910095;0.912398077
7.533725766;1.178851038;8.832498242;1.078969964;7.613958815;0.948507518
7.919847313;1.220218231;9.341476645;1.118554994;8.025153189;0.987521577
8.30596886;1.258995165;9.815353089;1.155207281;8.393723757;1.020601839
8.692090407;1.296045259;10.28922953;1.188806762;8.769314716;1.05456011
9.078211954;1.331368513;10.79820794;1.222851514;9.267762531;1.096250283
9.464333501;1.364964927;11.27208438;1.251136852;9.604741336;1.119293989
9.850455048;1.395395469;11.7635118;1.277684998;10.03097941;1.1538075
10.23657659;1.424962591;12.25493923;1.301594918;10.45596384;1.182441783
10.62269814;1.451076033;12.72881567;1.322417841;10.85086087;1.210064461
11.00881969;1.475174829;13.22024309;1.340501047;11.20188046;1.232947076
11.39494124;1.498122398;13.69411954;1.356447018;11.59970266;1.25186302
11.78106278;1.517904095;14.18554696;1.37006785;11.96158714;1.271012261
12.16718433;1.535095532;14.67697438;1.381050456;12.37779608;1.292547693
12.55330588;1.551135742;15.64227825;1.395104482;12.90783566;1.316502681
12.93942742;1.564585693;;;13.32554897;1.331193497
13.32554897;1.576020997;;;13.73975208;1.347995595
13.71167052;1.585153849;;;14.13289402;1.36480189
14.09779206;1.591696441;;;14.5821991;1.369988791
14.48391361;1.597087806;;;14.95528277;1.377602977
14.87003516;1.598737685;;;15.29125866;1.381455664
15.25615671;1.602402211;;;15.73003315;1.385061727
15.5194214;1.604076578;;;15.95819588;1.390292705
